ID,X_mm,Y_mm,Intensity,Classification
e0f21064-ec53-42d3-933b-62beb5b844e3,6.8,2.2,0.666,destructive
85e7399d-bacc-4816-bb9e-11fa4b5725b0,7,2.2,0.5106,destructive
d414edbb-7703-454f-b11e-b6eb46fb4652,7.4,2.2,0.5356,constructive
f00b690a-43f3-4b4a-9f98-9d1a1487110b,7.6,2.2,0.7881,constructive
c6fbda5f-2786-4703-8089-c4c1951c0d85,7.8,2.2,0.6319,constructive
8f0f9b92-073f-44ee-a554-b41b755766d4,-10,2.4,0.3747,constructive
6de625ad-aa57-434b-ab60-672987ba2f62,-9.4,2.4,0.5529,destructive
6369610d-003e-49c0-9e06-361b4cc50b60,-9.2,2.4,0.5632,destructive
ae1cced0-57c7-421e-953d-de47d3cef233,-8.6,2.4,0.3037,constructive
0c75afd1-de85-4952-a032-2680d2382722,-8,2.4,0.3928,constructive
85fcef22-c4ba-4e51-8970-835785ff3276,-7.8,2.4,0.6189,constructive
614ed35f-301b-41c5-8d13-5f81ee9f4c9f,-7.6,2.4,0.6887,constructive
1890970d-2c20-4b66-a7d4-bced30046f40,-7.4,2.4,0.4252,constructive
dee11111-ba4c-4686-a250-7f51a8907a35,-7,2.4,0.5163,destructive
e1f3a76f-a163-4e22-aca9-02a7b51e9811,-6.8,2.4,0.5898,destructive
93b73151-bbfa-406f-8842-48c3afab4afd,-6.2,2.4,0.4216,constructive
e6b07152-077d-4c07-a566-5112909f82cc,-6,2.4,0.3575,constructive
039d99b9-38d0-4000-9e0f-d6d1f7f4dc57,-5,2.4,0.3296,constructive
96822fe4-c6fa-4825-941d-1c2236a227e6,-4.4,2.4,0.3495,destructive
dc5b8f61-f06e-4ab9-9492-4a041e8bdc10,-4.2,2.4,0.3458,destructive
e2eca101-6c09-4065-af93-19194c9e6028,-3.8,2.4,0.3246,constructive
9a38ca4e-cd6c-44c4-8b68-439b10b8b03e,-3.6,2.4,0.5559,constructive
1b854c48-6b80-485f-8caa-0a77c7b3029f,-3.4,2.4,0.4966,constructive
2acfb0b8-9b50-4c70-a102-0cf4fc498f1d,-2.2,2.4,0.3459,constructive
67505afd-847e-4be3-997e-c46c9875f5dd,-2,2.4,0.3962,constructive
42ad8166-9fb2-46ab-8130-8cb711e4c3e7,-1.8,2.4,0.3162,constructive
4b906564-80ed-4a98-9d36-b6eb7dbf2823,-1,2.4,0.4002,constructive
a359a7a6-d3a0-476d-85dd-87a58a74e901,-0.8,2.4,0.4287,constructive
d1c28d9d-5163-4788-8e15-8dbf1c1d6f06,-0.6,2.4,0.307,constructive
70bcd5ee-c849-49c4-968e-9e1778394366,0.6,2.4,0.307,constructive
46abb1b2-963f-4833-8000-8f22dedbc51c,0.8,2.4,0.4287,constructive
330d4b59-8991-42ab-93ac-2f86f9529ed6,1,2.4,0.4002,constructive
5e87b26c-37d0-4cdb-a87d-a706a72229fc,1.8,2.4,0.3162,constructive
53d3de0e-19ef-4220-b720-842449cc97dd,2,2.4,0.3962,constructive
30f6568e-f663-413f-aba3-013a3f1f6894,2.2,2.4,0.3459,constructive
09818705-315d-44e9-9c3f-148b9ee4376f,3.4,2.4,0.4966,constructive
01bf3883-338e-4aed-8260-47321b6a0ec6,3.6,2.4,0.5559,constructive
a269d9db-f0e7-47bd-85a2-560b6d8d58f9,3.8,2.4,0.3246,constructive
a39909af-2a7b-4291-b48b-38f0fe21d225,4.2,2.4,0.3458,destructive
e1ac37d6-9655-4e71-a011-645d33599896,4.4,2.4,0.3495,destructive
4387680d-0f0c-4e57-9d63-af8e6a8c1f97,5,2.4,0.3296,constructive
03ff9415-8d8a-48d1-957a-ca46e2d659cf,6,2.4,0.3575,constructive
286cecd1-d7b9-4709-b0f1-cac3bce7125f,6.2,2.4,0.4216,constructive
e24c44b2-17a2-4778-a4e3-980a6c13c724,6.8,2.4,0.5898,destructive
c12a2611-0b9a-4b4f-887e-008509e9c5f2,7,2.4,0.5163,destructive
610362d4-3b0f-40ef-94d9-94e202fd5570,7.4,2.4,0.4252,constructive
01ad29eb-0bf0-42f7-848c-61a1eb605139,7.6,2.4,0.6887,constructive
844dde5b-2f76-4392-90ea-95355b79f201,7.8,2.4,0.6189,constructive
87612915-a1b0-413e-b8ab-2adc54fe6073,8,2.4,0.3928,constructive
6e6ae9f3-240b-4de9-8bbb-e018721cb7a3,8.6,2.4,0.3037,constructive
b595d679-159c-420a-ad7f-ff81812405b7,9.2,2.4,0.5632,destructive
f7a7db70-3983-4c1c-aee5-57a61032db1b,9.4,2.4,0.5529,destructive
5b921e75-1ecc-47d4-9ee8-4abf3fa3c1bd,10,2.4,0.3747,constructive
a1448e7a-d4e5-4e13-a98b-8b3a52cced24,-10,2.6,0.5481,constructive
a787aa4a-aed7-4d26-949d-f4a7d9776a98,-9.6,2.6,0.3342,destructive
68b467a8-9d67-4664-830a-259bcdeb9a07,-9.4,2.6,0.8149,destructive
c9a9acc5-f3e4-492b-be24-7549e920a3b8,-9.2,2.6,0.8349,destructive
8683cf82-b3f4-4e9c-8ad2-ab5079d030e5,-9,2.6,0.4024,destructive
f63b6342-e115-4117-bdcc-b6150b1eed7c,-8.6,2.6,0.4775,constructive
787ebd85-0af4-438d-b06e-608761786d7c,-8.4,2.6,0.4786,constructive
faa918c5-767e-4a4f-b4c3-f11ee5e04e25,-8.2,2.6,0.3417,constructive
be70af66-adae-4ff9-bfce-44c4d0d75e40,-8,2.6,0.3016,constructive
85498858-c01a-427f-8d89-ecba08eaec34,-7.8,2.6,0.4014,constructive
ac6702ee-5b62-4c2b-9b8b-9418ced14c3f,-7.6,2.6,0.47,constructive
d42a1b0b-39a9-45f0-97a3-09bd3ba9c12f,-7.4,2.6,0.3229,constructive
936f4b95-6114-4cdf-8226-9080c694147b,-7,2.6,0.3171,destructive
cb4bab63-ed7a-4102-b973-66e145d5150f,-6.8,2.6,0.3109,destructive
fa5ae394-80f3-4854-9b87-fa6c35d8fcbe,-6.4,2.6,0.4928,constructive
db904b2b-4a31-424b-bab9-b7c40636b30f,-6.2,2.6,0.7325,constructive
55784905-ee4f-4b20-9909-3b677f0ba10b,-6,2.6,0.6008,constructive
e23ff95f-03dd-47ef-9bc9-93b2eb4ed2e4,-3.8,2.6,0.4986,constructive
b917d4ff-9276-42ea-b3f5-596b89dc19b8,-3.6,2.6,0.7428,constructive
957913ae-53fe-4480-9856-77d88022bd8a,-3.4,2.6,0.6888,constructive
96436c3a-d820-47a4-9a48-3cbe3d084410,-3.2,2.6,0.366,constructive
c86f333e-b576-41b1-ad7f-82c909ab55ab,-2,2.6,0.3352,constructive
c760689a-04aa-4144-90eb-9588aff6bb81,-0.2,2.6,0.3121,destructive
7ae93998-c0fb-45d5-86ee-67164188e1fd,0,2.6,0.3607,destructive
473ff846-b2a8-496b-a882-0de0af47eefb,0.2,2.6,0.3121,destructive
cd820e5c-30d8-4f94-921c-8b3ece349082,2,2.6,0.3352,constructive
52925c9e-bd44-40f0-9c46-cbb96a31f61b,3.2,2.6,0.366,constructive
c07f3258-025f-47e3-89e2-e7b6776d5489,3.4,2.6,0.6888,constructive
57f05b96-ddd4-414d-b3a1-4e64eddf2339,3.6,2.6,0.7428,constructive
8ff1c852-5900-4a46-b9e9-ad4f805006da,3.8,2.6,0.4986,constructive
8b42dab7-2006-4d49-aa06-91af9582cf50,6,2.6,0.6008,constructive
1ddf2579-7a1d-491d-890c-1d6d76eb386b,6.2,2.6,0.7325,constructive
ebb1f150-aa26-42a5-9157-49895cc18b2e,6.4,2.6,0.4928,constructive
bad168d5-68c1-4644-a2ab-2bbb4b2eecd6,6.8,2.6,0.3109,destructive
090df0f5-01f1-42eb-89d0-7dfc6a36a03c,7,2.6,0.3171,destructive
4fc73795-22f5-4d64-a672-66dd891a93a1,7.4,2.6,0.3229,constructive
f3886e7f-f06b-4f21-94d9-d4ec36579103,7.6,2.6,0.47,constructive
a73a310c-708f-46b1-9fa9-5a6d6d7b3a80,7.8,2.6,0.4014,constructive
7f7ec758-9d87-491e-a1d6-7e029b986091,8,2.6,0.3016,constructive
f15ab26d-4ab8-4d9e-9cc3-bb51c35cf26c,8.2,2.6,0.3417,constructive
dad23760-bdf5-4c9a-847d-770b30e4c2e5,8.4,2.6,0.4786,constructive
009e405b-df4b-46d2-ad0a-4cd3787af6a5,8.6,2.6,0.4775,constructive
9eeae442-965f-4bf3-9086-e8c52d44ae16,9,2.6,0.4024,destructive
f87c7c59-c7b3-4660-a22c-e6d2f019f512,9.2,2.6,0.8349,destructive
50bb5dc2-27cc-46e6-a852-25dc878468b3,9.4,2.6,0.8149,destructive
4eb669ec-c268-4a21-9a38-fe38ed96a36b,9.6,2.6,0.3342,destructive
c30be1c1-17c2-407e-b121-2a0f7f5914e0,10,2.6,0.5481,constructive
fe5b4925-f5ee-4187-aabd-d1dbb96ea366,-10,2.8,0.5754,constructive
d2f4742c-be90-4830-aa8f-adf1fac9926f,-9.6,2.8,0.4507,destructive
da43b8fd-1abe-451e-941f-a4d71e14ebd5,-9.4,2.8,0.9351,destructive
f834500f-8271-4c46-8b87-b43680e2c5b4,-9.2,2.8,0.9133,destructive
759939e6-a5ce-46bc-91f8-5de8fc9f520f,-9,2.8,0.4024,destructive
aec072c2-c727-47dd-9580-5cf4d0afae04,-8.6,2.8,0.5799,constructive
a4db9ebb-7a92-4da2-89ae-89e93dc89571,-8.4,2.8,0.5055,constructive
175fc5c6-24a3-46db-b53d-9872d0b8e4e8,-7.4,2.8,0.3277,constructive
03e35717-48de-49d9-ac11-ce1c6a68e0a8,-6.6,2.8,0.3109,constructive
33168a80-05bd-4743-8d89-fd76263bae0e,-6.4,2.8,0.6676,constructive
1f34911e-f91a-44c8-8e48-3e5c0d89dfaa,-6.2,2.8,0.8277,constructive
60800e15-6d7c-46dc-a082-7557e7e56ccf,-6,2.8,0.6298,constructive
d1b9e2f3-6192-401f-8ad9-1611f1f7ca74,-5.4,2.8,0.331,destructive
cf1bd0bf-82f9-4901-830c-44174879fbe5,-4.8,2.8,0.3969,constructive
265f8346-f63c-40db-8d49-7957837c4fd3,-4.6,2.8,0.3552,constructive
c38f196b-4c8e-489f-8a4b-500203574f8f,-3.8,2.8,0.5409,constructive
492f7be0-4546-4c07-aaaf-493930539662,-3.6,2.8,0.7238,constructive
32ea4581-8183-4b04-bac1-701c9dc9e20b,-3.4,2.8,0.6396,constructive
800018b7-e148-40b0-a27e-48dd16c77bb1,-2.8,2.8,0.5107,destructive
547aa17d-9b17-42ba-bf57-2adcb14d5641,-2.6,2.8,0.5514,destructive
ba6daa5c-38df-4fc2-8e30-83ec60052363,-2.4,2.8,0.3333,destructive
fcf1e555-a2b7-435e-a5f1-1430b9749ae8,-1.2,2.8,0.3996,destructive
7323632d-5904-469f-95de-a2c46e6158e7,-1,2.8,0.4643,destructive
39b3154e-7412-495c-8cda-150febc6f377,-0.8,2.8,0.4366,destructive
933e4257-6dc0-427e-8dc0-145673014c3f,-0.6,2.8,0.3737,destructive
e1df530d-c3d9-47a8-8648-886f9818e1b9,-0.4,2.8,0.323,destructive
da2a4779-789f-407e-a8e7-bae5d0fc6aee,0.4,2.8,0.323,destructive
6281c614-9f86-4a30-a0fc-ffc1d63d8fda,0.6,2.8,0.3737,destructive
e68e981d-12d7-4aac-9998-ca9c23dfd4bd,0.8,2.8,0.4366,destructive
ce9496f6-b7d0-4473-bd5f-660d6d0dbfed,1,2.8,0.4643,destructive
