ID,X_mm,Y_mm,Intensity,Classification
20dfbfd5-99be-44c4-9c51-659551796422,-10,2,0.6103,destructive
e608927a-23dc-4259-a285-a6cdda4657cc,-9.6,2,0.5509,constructive
9a0a1592-eff4-4b97-92be-00347d892472,-9.4,2,0.8436,constructive
aa6d8dec-3deb-40ec-ac1a-a0fb3bfc85ce,-9.2,2,0.4531,constructive
ada4a943-3816-4da5-9a20-69b5167e8ce2,-8.8,2,0.383,destructive
1130dada-afd6-405e-b65c-a490849107ac,-8.6,2,0.33,destructive
b5428c44-f153-4617-ba21-8e9eabc9906d,-8.4,2,0.3559,destructive
a41f5247-6e41-4060-899a-90b00fb15cde,-8.2,2,0.5348,destructive
bb200cc7-e335-4471-a12a-fadc0de6ef39,-8,2,0.5109,destructive
b9157854-c836-4251-869e-07f23f57a637,-7.6,2,0.4757,constructive
e69dd859-e282-4de1-bb7e-54a7bf6e94ad,-7.4,2,0.5532,constructive
834d4b4e-1a3e-4211-9d52-bcfd36245d66,-7,2,0.3646,destructive
8dff4171-5547-4af9-b9d4-025dfe6c50df,-6.8,2,0.3281,destructive
7739717d-0ae2-489a-a69f-5a3dce2f6b69,-6.4,2,0.4675,constructive
c7794817-2b5d-4e36-a3e7-8dc0e2545d0c,-6.2,2,0.4317,constructive
984fe2ed-1e3e-452a-9585-d854f17c1de2,-5.8,2,0.3343,constructive
fd973d59-7c10-4877-8150-69761a9582d2,-5.6,2,0.631,constructive
0b1933fa-e61d-41d9-9098-26521e629a8a,-5.4,2,0.7377,constructive
52996949-26e9-47a8-98e7-3f69e866d403,-5.2,2,0.3827,constructive
d6a174f2-6b91-49d8-8e92-f10aa4a90565,-4.8,2,0.5196,destructive
cf36bf58-e7fc-4501-9990-d53de69d4925,-4.6,2,0.3853,destructive
fbc99c9e-d2a9-41a1-a9ab-56548540b167,-4,2,0.3152,destructive
497c0257-1994-4e23-99db-ac633f9977a5,-3.8,2,0.5301,destructive
42fb21f8-d539-4578-bfa0-d0eb9335b1bf,-3.6,2,0.3722,destructive
4be3f127-e696-4c8d-b702-db297e389b6b,-3.2,2,0.4888,constructive
dc1af748-80a8-498a-8665-5a73e51706cc,-3,2,0.5394,constructive
