ID,X_mm,Y_mm,Intensity,Classification
8e5a6663-5018-44b0-a522-c683fc25ade1,-10,2,0.6027,destructive
716026d1-0325-455b-b1f5-8b422f8eac1c,-9.8,2,0.6622,destructive
ac078aaa-63d9-4448-948a-a47b97948a38,-8.6,2,0.3046,constructive
ada0698c-5df9-4a9b-b12e-39359d41fa82,-8.4,2,0.3616,constructive
93458bc0-3c9e-4b44-b2e2-fee2cd8a9582,-7.6,2,0.4338,constructive
3929609d-a8af-406c-b65b-a3f4b0d83356,-7.4,2,0.7546,constructive
8e881afe-872e-4438-8bfd-3d0020c8cad1,-7.2,2,0.5495,constructive
3ca9f5de-0d73-492f-9b36-1b6385dffcdc,-6.8,2,0.5039,destructive
1a4ad4a9-8bfb-46c8-8aff-8d99be3a755a,-6.6,2,0.5229,destructive
627c86fa-4738-45c1-955b-90029515b5e8,-5.8,2,0.3929,destructive
ecfcec0a-806a-44cc-99c1-b3784418d7a7,-5.2,2,0.5508,constructive
13ff7cd1-26f9-40c9-99af-7343fac24eb6,-5,2,0.4696,constructive
d262bde7-c2f6-4c53-8271-d2ca12480335,-4,2,0.3154,constructive
0a22d505-e968-494c-9ad0-a6b2fc197240,-1.8,2,0.5628,constructive
3a276c44-4249-4875-9637-ae53d528d546,-1.6,2,0.9358,constructive
c96f1f63-1bf2-4745-9238-fc1c7bf876ff,-1.4,2,0.9094,constructive
f77a7c76-0bc1-4238-ab22-85c7a6d31d51,-1.2,2,0.4847,constructive
892799e6-f807-4093-a2de-bbcc80676801,-0.8,2,0.3835,destructive
1feb8362-9940-4446-8420-4e013a337a46,-0.2,2,0.6014,constructive
62cbc4a1-8ab3-412c-af6b-e58298f91e45,0,2,0.7984,constructive
cc1dc2f8-6f0b-487b-83a8-900acd548108,0.2,2,0.6014,constructive
bf3dfa83-f4f0-4f22-b465-c7bec2bb126d,0.8,2,0.3835,destructive
ba7593bb-a4a8-4ed3-9c34-250036aeca63,1.2,2,0.4847,constructive
0c83b34e-ccb5-45bc-a73a-5d337b2c5392,1.4,2,0.9094,constructive
88882d55-b38a-4a78-a1f9-b8993fd37dad,1.6,2,0.9358,constructive
c6b65e84-8bee-4e38-8aef-35d730f66700,1.8,2,0.5628,constructive
bf1f87da-18d2-4e1c-ab36-543a2801323b,4,2,0.3154,constructive
106b2ab4-95bc-4cba-a5a7-35e524325931,5,2,0.4696,constructive
