X,Y,Z
0.000000000000000000e+00,0.000000000000000000e+00,3.240349999999999842e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.240349999999999842e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.258008819999999695e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.258008819999999695e+00
0.000000000000000000e+00,6.258008819999999695e+00,0.000000000000000000e+00
0.000000000000000000e+00,-6.258008819999999695e+00,0.000000000000000000e+00
6.258008819999999695e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.258008819999999695e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.933831076328311083e+00,3.129004409999999847e+00,5.062835486328311596e+00
1.933831076328311083e+00,-3.129004409999999847e+00,5.062835486328311596e+00
-1.933831076328311083e+00,3.129004409999999847e+00,5.062835486328311596e+00
-1.933831076328311083e+00,-3.129004409999999847e+00,5.062835486328311596e+00
1.933831076328311083e+00,3.129004409999999847e+00,-5.062835486328311596e+00
1.933831076328311083e+00,-3.129004409999999847e+00,-5.062835486328311596e+00
-1.933831076328311083e+00,3.129004409999999847e+00,-5.062835486328311596e+00
-1.933831076328311083e+00,-3.129004409999999847e+00,-5.062835486328311596e+00
5.062835486328311596e+00,1.933831076328311083e+00,3.129004409999999847e+00
5.062835486328311596e+00,-1.933831076328311083e+00,3.129004409999999847e+00
-5.062835486328311596e+00,1.933831076328311083e+00,3.129004409999999847e+00
-5.062835486328311596e+00,-1.933831076328311083e+00,3.129004409999999847e+00
5.062835486328311596e+00,1.933831076328311083e+00,-3.129004409999999847e+00
5.062835486328311596e+00,-1.933831076328311083e+00,-3.129004409999999847e+00
-5.062835486328311596e+00,1.933831076328311083e+00,-3.129004409999999847e+00
-5.062835486328311596e+00,-1.933831076328311083e+00,-3.129004409999999847e+00
3.129004409999999847e+00,5.062835486328311596e+00,1.933831076328311083e+00
3.129004409999999847e+00,-5.062835486328311596e+00,1.933831076328311083e+00
-3.129004409999999847e+00,5.062835486328311596e+00,1.933831076328311083e+00
-3.129004409999999847e+00,-5.062835486328311596e+00,1.933831076328311083e+00
3.129004409999999847e+00,5.062835486328311596e+00,-1.933831076328311083e+00
3.129004409999999847e+00,-5.062835486328311596e+00,-1.933831076328311083e+00
-3.129004409999999847e+00,5.062835486328311596e+00,-1.933831076328311083e+00
-3.129004409999999847e+00,-5.062835486328311596e+00,-1.933831076328311083e+00
0.000000000000000000e+00,1.440950161707096999e+00,6.994516179942419143e+00
1.440950161707096999e+00,6.994516179942419143e+00,0.000000000000000000e+00
6.994516179942419143e+00,0.000000000000000000e+00,1.440950161707096999e+00
0.000000000000000000e+00,1.440950161707096999e+00,-6.994516179942419143e+00
1.440950161707096999e+00,-6.994516179942419143e+00,0.000000000000000000e+00
-6.994516179942419143e+00,0.000000000000000000e+00,1.440950161707096999e+00
0.000000000000000000e+00,-1.440950161707096999e+00,6.994516179942419143e+00
-1.440950161707096999e+00,6.994516179942419143e+00,0.000000000000000000e+00
6.994516179942419143e+00,0.000000000000000000e+00,-1.440950161707096999e+00
0.000000000000000000e+00,-1.440950161707096999e+00,-6.994516179942419143e+00
-1.440950161707096999e+00,-6.994516179942419143e+00,0.000000000000000000e+00
-6.994516179942419143e+00,0.000000000000000000e+00,-1.440950161707096999e+00
2.881889740280005885e+00,6.103986564400067039e+00,2.331448799886524537e+00
6.103986564400067039e+00,2.331448799886524537e+00,2.881889740280005885e+00
2.331448799886524537e+00,2.881889740280005885e+00,6.103986564400067039e+00
2.881889740280005885e+00,6.103986564400067039e+00,-2.331448799886524537e+00
6.103986564400067039e+00,-2.331448799886524537e+00,2.881889740280005885e+00
-2.331448799886524537e+00,2.881889740280005885e+00,6.103986564400067039e+00
2.881889740280005885e+00,-6.103986564400067039e+00,2.331448799886524537e+00
-6.103986564400067039e+00,2.331448799886524537e+00,2.881889740280005885e+00
2.331448799886524537e+00,2.881889740280005885e+00,-6.103986564400067039e+00
2.881889740280005885e+00,-6.103986564400067039e+00,-2.331448799886524537e+00
-6.103986564400067039e+00,-2.331448799886524537e+00,2.881889740280005885e+00
-2.331448799886524537e+00,2.881889740280005885e+00,-6.103986564400067039e+00
-2.881889740280005885e+00,6.103986564400067039e+00,2.331448799886524537e+00
6.103986564400067039e+00,2.331448799886524537e+00,-2.881889740280005885e+00
2.331448799886524537e+00,-2.881889740280005885e+00,6.103986564400067039e+00
-2.881889740280005885e+00,6.103986564400067039e+00,-2.331448799886524537e+00
6.103986564400067039e+00,-2.331448799886524537e+00,-2.881889740280005885e+00
-2.331448799886524537e+00,-2.881889740280005885e+00,6.103986564400067039e+00
-2.881889740280005885e+00,-6.103986564400067039e+00,2.331448799886524537e+00
-6.103986564400067039e+00,2.331448799886524537e+00,-2.881889740280005885e+00
2.331448799886524537e+00,-2.881889740280005885e+00,-6.103986564400067039e+00
-2.881889740280005885e+00,-6.103986564400067039e+00,-2.331448799886524537e+00
-6.103986564400067039e+00,-2.331448799886524537e+00,-2.881889740280005885e+00
-2.331448799886524537e+00,-2.881889740280005885e+00,-6.103986564400067039e+00
1.440950736625879802e+00,5.213359765112432598e+00,4.663060678795009295e+00
5.213359765112432598e+00,4.663060678795009295e+00,1.440950736625879802e+00
4.663060678795009295e+00,1.440950736625879802e+00,5.213359765112432598e+00
1.440950736625879802e+00,5.213359765112432598e+00,-4.663060678795009295e+00
5.213359765112432598e+00,-4.663060678795009295e+00,1.440950736625879802e+00
-4.663060678795009295e+00,1.440950736625879802e+00,5.213359765112432598e+00
1.440950736625879802e+00,-5.213359765112432598e+00,4.663060678795009295e+00
-5.213359765112432598e+00,4.663060678795009295e+00,1.440950736625879802e+00
4.663060678795009295e+00,1.440950736625879802e+00,-5.213359765112432598e+00
1.440950736625879802e+00,-5.213359765112432598e+00,-4.663060678795009295e+00
-5.213359765112432598e+00,-4.663060678795009295e+00,1.440950736625879802e+00
-4.663060678795009295e+00,1.440950736625879802e+00,-5.213359765112432598e+00
-1.440950736625879802e+00,5.213359765112432598e+00,4.663060678795009295e+00
5.213359765112432598e+00,4.663060678795009295e+00,-1.440950736625879802e+00
4.663060678795009295e+00,-1.440950736625879802e+00,5.213359765112432598e+00
-1.440950736625879802e+00,5.213359765112432598e+00,-4.663060678795009295e+00
5.213359765112432598e+00,-4.663060678795009295e+00,-1.440950736625879802e+00
-4.663060678795009295e+00,-1.440950736625879802e+00,5.213359765112432598e+00
-1.440950736625879802e+00,-5.213359765112432598e+00,4.663060678795009295e+00
-5.213359765112432598e+00,4.663060678795009295e+00,-1.440950736625879802e+00
4.663060678795009295e+00,-1.440950736625879802e+00,-5.213359765112432598e+00
-1.440950736625879802e+00,-5.213359765112432598e+00,-4.663060678795009295e+00
-5.213359765112432598e+00,-4.663060678795009295e+00,-1.440950736625879802e+00
-4.663060678795009295e+00,-1.440950736625879802e+00,-5.213359765112432598e+00
