ID,X_mm,Y_mm,Intensity,Classification
54a8d830-8cb4-450e-8ffa-89500f0d7204,-2.6,2.2,0.7679,destructive
9038b31d-b7a9-4d99-b9f6-db3b0f0f2e2e,-2.4,2.2,0.324,destructive
fd216064-173e-478b-b883-4636b9d5faf2,-0.2,2.2,0.387,constructive
352a38bf-dbf9-4a57-9ab2-cb0e9f2787c7,0,2.2,0.5515,constructive
fdf0d278-3c8a-403b-81bb-8c31860673f8,0.2,2.2,0.387,constructive
494cc849-39bf-4256-8212-002de3a0aae3,2.4,2.2,0.324,destructive
0454a0b1-a3f1-4796-b04a-77915cdc1a7a,2.6,2.2,0.7679,destructive
61892d52-a635-4b97-84a4-862b42cdc0b4,2.8,2.2,0.9396,destructive
c83e2843-5898-4c19-bfb8-24f8b661a132,3,2.2,0.5975,destructive
01d1eb3b-61c1-4176-9a12-ca6c84b80377,3.4,2.2,0.4516,constructive
38112325-f52a-47ff-8f54-f03a252cddf4,3.6,2.2,0.4404,constructive
b7b695a0-99de-472b-9417-25d65164f54a,4,2.2,0.3374,constructive
1ced0993-914b-4590-ba21-3bfdba10d008,4.2,2.2,0.6552,constructive
b5a731c3-786d-4886-bc7b-0970414bd1d4,4.4,2.2,0.7865,constructive
240aaed1-2102-45fc-822a-ae66c796fe72,4.6,2.2,0.4117,constructive
443ca5d1-fb64-4510-9d03-c741c6ae6bff,5,2.2,0.5717,destructive
64291b6a-fe36-426c-83cc-18d38162f961,5.2,2.2,0.4341,destructive
fdda3581-78c2-44d8-ad7c-b70d6e930f0b,5.8,2.2,0.461,destructive
0b26646f-1bf2-48a6-8f94-03258432e54a,6,2.2,0.3831,destructive
ce252270-fa10-4f05-880f-4e5fb74792dd,6.4,2.2,0.4339,constructive
3bb019fb-c5c9-47a9-a3c4-23a8c4d58de0,6.8,2.2,0.3877,destructive
6c4d6ad1-facb-4fba-b7f3-65949d34ead2,7,2.2,0.6408,destructive
3a4641fe-edb5-4ca8-adaa-8f6389dc9590,7.2,2.2,0.3026,destructive
68dc76f1-4170-4c30-8eaa-3c357a3f6771,7.6,2.2,0.3199,constructive
69edfc61-fe36-415b-b5e7-4fe3703c34e9,8,2.2,0.3731,constructive
d1057486-e4ba-4f85-a73a-b86547a71192,8.2,2.2,0.655,constructive
3cb42c05-e9a4-4ccd-8383-5e2a43c98fe4,8.4,2.2,0.5706,constructive
19701363-44f7-47a9-91ad-34bc55c63923,8.8,2.2,0.6018,destructive
e8bc2059-b2f8-49d9-ae10-69cade52a9af,9,2.2,0.4841,destructive
a837824c-aebc-46d9-a6f4-53aa8cfe3d00,9.8,2.2,0.4278,destructive
88a74e9b-8cce-4968-bb99-9e4058d08191,-9,2.4,0.7337,destructive
00bb0c4d-90cb-4e80-847d-be61fd09c03e,-8.8,2.4,0.7079,destructive
2e0d0772-afda-4640-874b-5d0f5257ed0d,-8.4,2.4,0.7561,constructive
6dd74788-7a80-490a-a432-09aec38ddc5e,-8.2,2.4,0.7966,constructive
258ae78b-7b37-43bb-aeda-32a88eb0e78b,-8,2.4,0.3005,constructive
1d07280f-7864-45b0-b81b-63aaf4898875,-6.6,2.4,0.4209,constructive
df624e1f-b4ee-452b-9c51-49abce61acc2,-6.4,2.4,0.5053,constructive
72a32330-68c4-4f4f-a394-64e2a22979b2,-6,2.4,0.5573,destructive
0d3c4735-cd91-45f5-8c95-6f928eb5b740,-5.8,2.4,0.6508,destructive
3cba3a43-bd76-46c5-9624-cda71fadb1a1,-4.6,2.4,0.6308,constructive
3c999c5a-38e6-44ea-af6d-458f9804780a,-4.4,2.4,0.8859,constructive
bb727079-4a4c-4be1-a5cc-3c5b0a2108d9,-4.2,2.4,0.6269,constructive
62d28226-36b5-44bf-8470-378736fcf5e4,-3,2.4,0.6381,destructive
6be7e3b2-e94e-43b1-bc40-21ea3ec3f7e7,-2.8,2.4,0.874,destructive
0baa1b43-e8f8-405e-b569-89ad5f0c3936,-2.6,2.4,0.603,destructive
e2db0b75-a60f-4b10-914e-77c6cd7ca5b0,-2.2,2.4,0.4812,constructive
993c4d2a-689a-4c42-9e28-5bdf8e70668c,-2,2.4,0.5611,constructive
69ea4e68-2f56-492b-b72d-b821f315e99a,-1.8,2.4,0.3521,constructive
8c2e084a-b7f8-4900-9a92-c853999ab897,-1,2.4,0.3271,constructive
8ebb091f-4ee4-4e6d-a7e3-f030dadc6547,-0.2,2.4,0.4308,constructive
8e596cfb-3a44-404e-bcd4-50e0d60c6c78,0,2.4,0.504,constructive
344cd07f-7e30-4a1e-845b-602f6cd86b35,0.2,2.4,0.4308,constructive
cb197894-e917-4140-b95a-b0465a879359,1,2.4,0.3271,constructive
6cd9a451-edf7-4d75-842f-a6c9152b8eb8,1.8,2.4,0.3521,constructive
abc70bb3-2913-4f5c-9495-17de24720a85,2,2.4,0.5611,constructive
fc9eee25-fbd7-4363-abee-786d806d685f,2.2,2.4,0.4812,constructive
cf538054-39d2-4aae-b9b7-2658073eae5e,2.6,2.4,0.603,destructive
48413a7c-9035-4d98-8096-1c8c586242e2,2.8,2.4,0.874,destructive
cfd7e5cb-3294-4e1f-a63b-9b39aac747ad,3,2.4,0.6381,destructive
b7a49f54-8e7a-4c0d-911f-7ed766671228,4.2,2.4,0.6269,constructive
3f565e18-aa8c-4c7a-9e65-c84a09d4cc83,4.4,2.4,0.8859,constructive
31fd461b-a17c-4b6a-8db1-91e7b8b63ba0,4.6,2.4,0.6308,constructive
6ec243b9-e801-467d-b8da-3f3a12208840,5.8,2.4,0.6508,destructive
10bc9c1a-ef5d-438b-9573-e7cef2196918,6,2.4,0.5573,destructive
a1d4db90-888e-46d9-8549-0cc498123634,6.4,2.4,0.5053,constructive
81767f00-5d00-4737-a841-6ea439a2dfaa,6.6,2.4,0.4209,constructive
60ced68b-4601-4410-a0df-7f988b534bba,8,2.4,0.3005,constructive
07515858-8d5e-4054-a8ae-7d0d724f3a78,8.2,2.4,0.7966,constructive
704464e8-c654-414c-b69f-131acbb549c2,8.4,2.4,0.7561,constructive
121068f7-91c7-4dd7-90b0-3e450b30585d,8.8,2.4,0.7079,destructive
4cdaf569-f759-4618-a330-b1e1ddf7769c,9,2.4,0.7337,destructive
81d08575-3f81-4d6e-b256-5771985e053b,-10,2.6,0.6083,constructive
3668877c-a0e7-4f58-a61f-57ace438e7eb,-9.2,2.6,0.3437,destructive
424c36aa-0772-4687-8bd4-fa14bc1345a7,-9,2.6,0.6532,destructive
d325ee34-c1a9-4e95-812a-ed5555182c6e,-8.8,2.6,0.5637,destructive
2c731201-d8a6-47b2-a6e1-2f21ded3fc69,-8.4,2.6,0.6601,constructive
adf80882-29b8-45a1-a34c-ebbe4bbc68ee,-8.2,2.6,0.5741,constructive
4493ac9f-d815-45fe-8126-1f8c0f052144,-7.8,2.6,0.3059,destructive
67ad4de4-c43e-4a87-bf85-ea03aac86f13,-7.4,2.6,0.5108,constructive
851e6972-53ec-4e67-8ef2-23188407bb56,-7.2,2.6,0.5865,constructive
7a231728-8ec2-4cf0-80d8-11e218718b6f,-7,2.6,0.3113,constructive
cd29387f-2a9f-4bbf-bff3-a0de903b0feb,-6.6,2.6,0.3185,constructive
47fa6938-b511-400b-824a-cee3c54450cc,-6.4,2.6,0.3434,constructive
e5992471-0719-4a43-a914-021230ec3925,-6,2.6,0.4914,destructive
a6c8798f-c119-480c-8df8-7454ac19fb98,-5.8,2.6,0.4702,destructive
21886314-3899-4c1a-919c-e5f85f1edd91,-5.4,2.6,0.5945,constructive
ea16a40b-288f-4ced-95e8-205f6c4d7116,-5.2,2.6,0.63,constructive
